,Variable,actor_score,digital_rental_index,director_score,early_est_dummy,redbox_window_dummy,sales_label,score_mpaa,genre_num,sub_genre_animated,screens,logBOActual,logBudget,holiday8wk_effect_dvd,holiday8wk_effect_theatrical,perc_rating_1,perc_rating_10,perc_rating_5,score_rotten_tomatoes_audience,kantar_th_total_log,nrg_female_o25,nrg_female_u25,nrg_male_o25,nrg_male_u25,film_appeal_overindex_quadrant_dvd_m1,dvd_female_o25,dvd_male_o25,listen_first_facebook_engagement_dvd_m8_log,listen_first_twitter_conversation_volume_dvd_m8_log,listen_first_twitter_engagement_dvd_m8_log,listen_first_youtube_total_views__official_plus_unofficial__dvd_m8_log,sov_twitter_dvd,sov_twitter_the,fb_total_engagement_dvd,tw_total_engagement_dvd,yt_total_engagement_dvd,tw_voc_post_accel,wiki_post_accel,youtube_post_accel,fb_engagement_post_accel
Miracles from Heaven,tt4257926,142.0368854,0.75,20.79075719,1,0,mid,2,6,0,3155,4.122170472,16.38045992,0,0,0.055,0.264,0.052,82,16.48255618,0.582225594,0.531657025,0.481571485,0.460965143,F>25,0.442023722,0.460525645,9.329278296,6.901737207,5.375278408,16.91081985,0.184616259,0.389140483,10.60945224,7.505492275,18.35733835,-6237.333333,-32080,1478912,-63253.66667
The Magnificient Seven,tt2404435,574.0439571,0.75,41.31175013,1,0,low,3,10,0,3696,4.535820108,18.31532023,2601,0,0.012,0.087,0.052,77,17.10514333,0.561419206,0.491041577,0.585600174,0.438938581,>25,0.317453559,0.540528949,7.71154898,6.993015123,7.137278437,17.90202375,0.944911183,0.269365968,9.30459181,7.952700531,19.3239664,-9044.666667,-105143,1473663.667,-21527
Inferno,tt3062096,637.9248281,0.75,105.6415471,0,0,low,3,11,0,3576,3.555348061,18.13299867,0,676,0.02,0.058,0.114,43,16.15852765,0.516344449,0.393605762,0.54352834,0.505481838,>25,0.637579475,0.727650838,-333,7.443663683,5.66296048,17.78673683,1,0.184333583,10.32495723,6.842943654,19.14927048,-3215.333333,-69289,955832.6667,-6892.333333
